id_utilisateur,id_concert,id_groupe,note,commentaire
44,919,919,2,"Es war nicht besonders gut, nicht mal gut."
739,34,34,5,"Eine unglaubliche Performance, wirklich herausragend!""     
63,135,24,1,""Pas du tout à mon goût, je n'ai pas accroché."
869,39,39,4,"Exceptionnel, un vrai talent !"
414,574,574,5,"Sublime, une prestation à couper le souffle."
499,924,924,3,"Bien mais sans plus, pas de surprise."
209,529,529,2,"Pas terrible, je ne recommande pas."
604,979,979,4,"Génial, une performance énergique et captivante !"
209,504,504,1,"Nul, j'ai regretté d'y être allé."
629,569,569,3,"Moyenne, rien d'extraordinaire."
64,794,794,2,"Décevant, ne correspondait pas à mes attentes."
849,924,924,5,"Incroyable, l'artiste a donné le meilleur de lui-même !"
534,194,194,4,"Très bon concert, une ambiance exceptionnelle !"
249,389,389,1,"Mauvais, je ne conseille pas du tout."
619,454,454,3,"Moyenne, ni décevant ni impressionnant."
704,794,794,2,"Pas terrible, je suis resté sur ma faim."
684,14,14,5,"Fantastique, une expérience musicale unique !"
759,299,299,1,"Piètre prestation, à oublier rapidement."
609,214,214,4,"Génial, j'ai passé une soirée mémorable !"
944,804,804,3,"Moyenne, sans grande surprise."
684,209,209,2,"Décevant, je m'attendais à mieux."
79,109,109,1,"Pas du tout à mon goût, j'ai été déçu."
659,354,354,4,"Très bonne performance, je recommande !"
239,829,829,3,"Moyenne, rien d'exceptionnel."
624,324,324,2,"Peu convaincant, je n'ai pas été captivé."
859,289,289,5,"Exceptionnel, un véritable artiste talentueux !"
109,389,389,1,"Décevant, pas à la hauteur de mes attentes."
289,174,174,4,"Super concert, j'ai adoré l'énergie de l'artiste !"
449,514,514,3,"Moyenne, sans surprise mais agréable."
314,419,419,2,"Pas terrible, je m'attendais à mieux."
89,924,924,5,"Inoubliable, l'un des meilleurs concerts que j'ai vus !"
774,249,249,1,"Mauvaise prestation, j'ai été déçu."
179,719,719,4,"Très bon concert, une ambiance incroyable !"
899,49,49,3,"Bien mais sans plus, manquait d'originalité."
549,784,784,2,"Décevant, je n'ai pas accroché."
84,694,694,5,"Fantastique, une expérience musicale unique !"
54,69,69,1,"Piètre prestation, je ne recommande pas."
899,164,164,4,"Génial, une performance énergique et captivante !"
919,169,169,3,"Moyenne, rien de marquant."
744,449,449,2,"Pas convaincant, je n'ai pas été transporté."
569,854,854,5,"Incroyable, un talent exceptionnel !"
184,159,159,1,"Mauvais, une véritable déception."
814,954,954,4,"Très bonne performance, j'ai été impressionné !"
494,849,849,3,"Moyenne, ni bon ni mauvais."
24,194,194,2,"Décevant, pas à la hauteur de mes attentes."
599,94,94,5,"Excellent artiste, une prestation incroyable !"
899,389,389,1,"Nul, j'ai regretté d'y être allé."
594,934,934,4,"La gône, l'concert il était lourd, j'ai trop kiffé !"
719,414,414,3,"Ça passe tranquille, y'avait rien d'ouf quoi."
774,134,134,2,"Nan mais sérieux, j'ai pas kiffé du tout, c'était pas terrible."
709,424,424,5,"La guédille du siècle, j'étais aux anges là !"
274,289,289,1,"Oh putain, c'était trop naze, j'suis grave déçu..."
124,179,179,4,"La gône, l'concert il était oufissime, j'étais sur un p'tit nuage !"
984,89,89,3,"Pas mal, tranquille quoi, ça passe."
949,14,14,2,"Franchement, j'ai pas kiffé du tout, c'était pas top."
919,714,714,5,"Oh ouais, l'concert yétait trop bien, j'suis fan !"
649,739,739,1,"Nan mais sérieux, c'était que du gâchis, j'suis dégoûté..."
319,824,824,4,"La gône, l'concert yétait trop bieng, j'étais en transe !"
899,909,909,3,"Mouais, ça s'écoute tranquille, rien d'extraordinaire."
104,514,514,2,"Ah non, c'était pas terrible du tout, j'ai pas aimé."
284,19,19,5,"  , l'concert il était fichtrement bô, j'ai trop aimé !"
189,144,144,1,"La cata totale, j'suis grave déçu..."
769,124,124,4,"Oh la vâche, l'concert yétait oufissime, j'étais en kiff total !"
529,319,319,3,"Bah ça passe tranquille, rien de fou quoi."
344,109,109,2,"Non mais sérieux, c'était pas top du tout, j'm'attendais à mieux."
939,624,624,5,"  , l'concert yétait trop bieng, j'étais aux anges !"
194,654,654,1,"La cata totale, j'suis grave déçu..."
794,529,529,4,"La gône, l'concert il était énorme, j'ai trop kiffé !"
949,34,34,3,"Pas mal, ça passe tranquille, c'était sympa."
374,519,519,2,"Franchement, j'ai pas kiffé du tout, c'était pas terrible."
624,664,664,5,"Oh ouais, l'concert yétait fichtrement bô, j'suis fan !"
264,819,819,1,"La cata totale, j'suis grave déçu..."
449,884,884,4,"La gône, l'concert il était oufissime, j'étais sur un p'tit nuage !"
794,744,744,3,"Ça passe tranquille, y'avait rien d'ouf quoi."
689,259,259,2,"Nan mais sérieux, j'ai pas kiffé du tout, c'était pas terrible."
769,119,119,5,"  , l'concert yétait trop bien, j'ai trop aimé !"
339,644,644,1,"Non mais sérieux, c'était que du gâchis, j'suis dégoûté..."
694,659,659,4,"La gône, l'concert yétait énorme, j'ai trop kiffé !"
349,744,744,3,"Mouais, ça s'écoute tranquille, c'était sympa."
994,994,994,2,"Pff, c'était pas terrible du tout, j'm'attendais à mieux."
999,79,79,5,"  , l'concert il était fichtrement bô, j'suis fan !"
84,644,644,1,"La cata totale, j'suis dégoûté..."
514,164,164,4,"La gône, l'concert il était ouf, j'étais en extase !"
659,619,619,3,"Pas mal, tranquille quoi, ça s'écoute."
479,379,379,2,"Bah nan, c'était pas top du tout, j'ai été déçu."
464,139,139,5,"Oh la vâche, l'concert yétait trop bien, j'suis choqué là !"
489,29,29,1,"La cata totale, j'suis grave déçu..."
829,319,319,4,"  , l'concert yétait énorme, j'étais en kiff total !"
264,479,479,3,"Mouais, ça passe tranquille, rien de fou quoi."
649,674,674,2,"Non mais sérieux, j'ai pas kiffé du tout, c'était pas terrible."
684,514,514,5,"Trop bieng, l'concert yétait fichtrement bô, j'suis fan !"
764,569,569,1,"La cata totale, j'suis grave déçu..."
109,109,109,4,"La gône, l'concert il était ouf, j'ai trop aimé !"
239,239,239,3,"Ça passe tranquille, c'était sympa quoi."
914,19,19,2,"Franchement, j'ai pas kiffé du tout, c'était pas top."
254,354,354,5,"Oh ouais, l'concert yétait trop bieng, j'suis en kiff total !"
879,289,289,1,"Non mais sérieux, c'était que du gâchis, j'suis dégoûté..."
579,364,364,4,"La gône, l'concert il était énorme, j'ai trop kiffé !"
19,169,169,3,"Pas mal, ça s'écoute tranquille, c'était sympa quoi."
369,724,724,2,"Bah nan, j'ai pas kiffé du tout, c'était pas terrible."
714,549,549,5,"  , l'concert yétait trop bien, j'étais sur un p'tit nuage !"
619,509,509,1,"La cata totale, j'suis dégoûté..."
544,219,219,4,"La gône, l'concert il était oufissime, j'suis choqué là !"
174,134,134,3,"Mouais, ça passe tranquille, rien de fou quoi."
154,84,84,2,"Pff, c'était pas terrible du tout, j'm'attendais à mieux."
229,614,614,5,"Trop bieng, l'concert yétait fichtrement bô, j'suis en extase !"
254,429,429,1,"La cata totale, j'suis grave déçu..."
524,214,214,4,"La gône, l'concert il était oufissime, j'ai trop aimé !"
279,764,764,3,"Pas mal, tranquille quoi, ça s'écoute."
164,799,799,2,"Bah nan, j'ai pas kiffé du tout, c'était pas terrible."
79,244,244,5," , l'concert yétait trop bieng, j'suis en transe !"
349,209,209,4,"Trop bin, l'concert iétot vraiment bin, j'ai bie kiffé !"
109,74,74,3,"Pas mauvais, cha s'écoute tranquille, cha iétot simpa."
279,14,14,2,"Bof, cha n'm'a pas trop plu, ch'étot pas tip top."
484,389,389,1,"Ah nan, cha iétot vraimint pas bin, j'suis déçu..."
779,49,49,4,"Oh ouais, l'concert iétot vraimint bin, j'suis fan !"
699,324,324,3,"Pas mal du tout, cha passe tranquille, iétot simpa."
209,649,649,2,"Bof, j'ai pas bie kiffé, cha n'té pas trop bin."
44,484,484,5,"Véritablemint bin, l'concert iétot vraimint bin, j'ai adoré !"
279,39,39,1,"Vraimint pas bin, cha n'valot pas l'coup, j'suis déçu..."
259,879,879,4,"Oh ouais, l'concert iétot vraimint bin, j'suis trop happy !"
764,104,104,3,"Cha s'écoute tranquille, iétot pas mal du tout."
264,989,989,2,"Pas bie kiffé, cha n'm'a pas trop plu, ch'étot pas tip top."
754,89,89,5,"Véritablemint bin, l'concert iétot vraimint bin, j'suis fan !"
894,84,84,1,"Pas bin du tout, cha n'valot pas l'coup, j'suis déçu..."
129,424,424,4,"Oh ouais, l'concert iétot vraimint bin, j'me suis trop éclaté !"
369,24,24,3,"Pas mal du tout, cha s'écoute tranquille, iétot simpa."
484,899,899,2,"Bof, cha n'm'a pas trop plu, ch'étot pas tip top."
449,449,449,5,"Véritablemint bin, l'concert iétot vraimint bin, j'ai kiffé à mort !"
199,499,499,1,"Vraimint pas bin, cha n'té pas du tout bin, j'suis déçu..."
14,64,64,4,"Oh ouais, l'concert iétot vraimint bin, j'suis trop content !"
969,344,344,3,"Pas mal du tout, cha s'écoute tranquille, iétot simpa."
169,274,274,2,"Bof, cha n'm'a pas trop plu, ch'étot pas tip top."
529,444,444,5,"Véritablemint bin, l'concert iétot vraimint bin, j'suis fan !"
854,339,339,1,"Vraimint pas bin, cha n'té pas du tout bin, j'suis déçu..."
509,739,739,4,"Oh ouais, l'concert iétot vraimint bin, j'suis trop happy !"
769,304,304,3,"Pas mal du tout, cha s'écoute tranquille, iétot simpa."
549,864,864,2,"Bof, cha n'm'a pas trop plu, ch'étot pas tip top."
794,604,604,5,"Véritablemint bin, l'concert iétot vraimint bin, j'ai adoré !"
164,554,554,4,"Trop bien l'concert, une ambiance de ouf, j'ai kiffé !"
959,119,119,3,"Pas mal du tout, ça s'écoute tranquille, c'était cool."
739,214,214,2,"Bof, j'ai pas trop aimé, c'était moyen."
754,459,459,1,"Ah non, c'était vraiment pas bien, je suis déçu..."
944,464,464,4,"Oh ouais, l'concert était trop bien, j'ai adoré !"
224,34,34,3,"Pas mal du tout, ça passe tranquille, c'était sympa."
9,859,859,2,"Bof, j'ai pas trop kiffé, c'était moyen."
864,649,649,5,"Trop bien, l'concert était vraiment top, j'ai trop aimé !"
844,574,574,1,"Vraiment pas bien, ça valait pas le coup, je suis déçu..."
739,714,714,4,"Oh ouais, l'concert était trop bien, j'étais trop happy !"
99,189,189,3,"Pas mal du tout, ça s'écoute tranquille, c'était sympa."
814,889,889,2,"Bof, j'ai pas trop aimé, c'était moyen."
129,879,879,5,"Trop bien, l'concert était vraiment top, j'étais trop fan !"
79,434,434,1,"Vraiment pas bien, ça valait pas le coup, je suis déçu..."
594,294,294,4,"Oh ouais, l'concert était trop bien, j'me suis trop éclaté !"
499,914,914,3,"Pas mal du tout, ça s'écoute tranquille, c'était sympa."
919,619,619,2,"Bof, j'ai pas trop kiffé, c'était moyen."
34,484,484,5,"Trop bien, l'concert était vraiment top, j'ai trop kiffé à mort !"
824,374,374,1,"Vraiment pas bien, ça valait pas le coup, je suis déçu..."
39,924,924,4,"Oh ouais, l'concert était trop bien, j'étais trop content !"
324,284,284,3,"Pas mal du tout, ça s'écoute tranquille, c'était sympa."
279,449,449,2,"Bof, j'ai pas trop aimé, c'était moyen."
654,294,294,5,"Trop bien, l'concert était vraiment top, j'étais trop fan !"
54,274,274,1,"Vraiment pas bien, ça valait pas le coup, je suis déçu..."
749,449,449,4,"Oh ouais, l'concert était trop bien, j'étais trop happy !"
179,389,389,3,"Pas mal du tout, ça s'écoute tranquille, c'était sympa."
104,644,644,2,"Bof, j'ai pas trop kiffé, c'était moyen."
839,554,554,5,"Trop bien, l'concert était vraiment top, j'ai adoré !"
414,409,409,5,"Granz concert, une ambience incroiable !"
219,849,849,3,"Pas mal du tout, cela s'escoute tranquilement, c'estoit plaisant."
254,434,434,2,"Boff, je n'ai pas trop aimé, cela estoit médiocre."
929,314,314,1,"Hélas, cela n'estoit vraiment pas bien, je suis desplaisi..."
34,659,659,4,"Oh ouais, le concert estoit trop bien, j'ai adoré !"
949,324,324,3,"Pas mal du tout, cela s'escoute tranquilement, c'estoit plaisant."
589,789,789,2,"Boff, je n'ai pas trop aimé, cela estoit médiocre."
609,734,734,5,"Trop bien, le concert estoit vraiment excellent, j'ai trop aimé !"
799,649,649,4,"Sira sa7bi, lahza ktir 3ajbe!"
244,364,364,3,"Btzakkar, mish ktir bhebha."
14,519,519,2,"Ma keno 7elo, byemshi 3laiya."
9,684,684,5,"Mnawar khsousa, performance 7elweh!"
784,639,639,5,Anbians-ay! Anbians-ay inoubliyab!
14,779,779,3,"Pa té ni anpil choz, men pa té mové nonpli."
264,229,229,2,Manjé-la tèlman sa ka fré mal.
319,194,194,1,"Pa té ni anyen, sa pa té bèl menm!"
514,234,234,4,"Sé vréman bon, sa ka ba anpil laplèzi!"
594,664,664,3,"Sa ka fè swen, men sa pa ka trap cho."
169,64,64,2,"Sa té lévé anpil, men sa pa té twò bon."
334,894,894,5,Anbians-ay! Anbians-ay sa ka ba anpil laplèzi!
729,109,109,1,"Sa pa té bèl, li té pa pli bon nonpli."
204,379,379,4,"Sé vréman bon, anpil mizik sa te ka ba!"
424,889,889,3,"Sa ka fè swen, men sa pa ka trap cho."
354,914,914,2,"Sa pa té bèl, sa té lévé anpil nonpli."
304,939,939,5,Anbians-ay! Performance a té vréman bon!
179,834,834,1,Sa pa té bèl nonpli!
129,974,974,4,"Sé vréman bon, anpil laplèzi sa té ka ba!"
929,154,154,3,"Sa ka fè swen, men sa pa té ka trap cho."
579,84,84,2,"Sa pa té bèl, li té pa pli bon nonpli."
469,494,494,5,Anbians-ay! Performance a té vréman bon!
404,924,924,5,"Amazing atmosphere, truly unforgettable!"
439,19,19,3,"Nothing special, but not bad either."
339,389,389,2,The food was quite disappointing.
274,794,794,1,"There wasn't much, it wasn't great either."
764,759,759,4,"It's really good, very enjoyable!"
104,944,944,3,"It's decent, but nothing outstanding."
319,124,124,2,"It was overhyped, but not that great."
74,654,654,5,"Amazing atmosphere, it's a lot of fun!"
174,399,399,1,"It wasn't great, it wasn't even good."
729,544,544,4,"It's really good, the music was great!"
959,369,369,3,"It's decent, but nothing extraordinary."
194,739,739,2,"It wasn't great, it was overrated."
114,589,589,5,"Amazing performance, truly outstanding!"
629,729,729,1,It wasn't great at all!
929,674,674,4,"It's really good, it gave a lot of pleasure!"
319,769,769,3,"It's decent, but it didn't stand out much."
444,589,589,2,"It wasn't great, it wasn't even good."
14,344,344,5,"Amazing performance, truly outstanding!"
479,609,609,5,"¡Una atmósfera increíble, realmente inolvidable!"
644,634,634,3,"Nada especial, pero tampoco malo."
309,734,734,2,La comida fue bastante decepcionante.
659,219,219,1,"No había mucho, tampoco fue genial."
629,749,749,4,"¡Está realmente bien, muy disfrutable!"
729,584,584,3,"Es decente, pero nada excepcional."
144,199,199,2,"Estuvo sobrevalorado, pero no fue tan bueno."
209,554,554,5,"¡Una atmósfera increíble, es muy divertido!"
304,579,579,1,"No fue genial, ni siquiera fue bueno."
579,344,344,4,"Está realmente bien, ¡la música estuvo genial!"
544,904,904,3,"Es decente, pero nada extraordinario."
534,199,199,2,"No fue genial, estuvo sobrevalorado."
404,39,39,5,"¡Increíble actuación, realmente sobresaliente!"
59,984,984,1,No fue genial en absoluto.
514,754,754,4,"Está realmente bien, ¡dio mucho placer!"
4,674,674,3,"Es decente, pero no destacó mucho."
854,639,639,2,"No fue genial, ni siquiera fue bueno."
579,859,859,5,"¡Increíble actuación, realmente sobresaliente!"
909,779,779,5,"Невероятная атмосфера, просто потрясающе!"
189,689,689,3,"Ничего особенного, но и не плохо."
219,259,259,2,Еда оказалась довольно разочаровывающей.
4,339,339,1,"Было не ocoo много, но и не было замечательно."
459,644,644,4,"Очень хорошо, очень приятно!"
999,339,339,3,"Неплохо, но ничего особенного."
639,859,859,2,"Переоценено, но не так хорошо."
784,544,544,1,"C'était dla merde, j'suis grave déçu, j'te jure..."
474,354,354,4,"Oh putain, l'artiste il a tout niké, j'suis fan !"
819,814,814,5,"La tuerie du siècle, j'étais au paradis wallah !"
164,929,929,3,"Moyen moyen, y'avait rien de ouf quoi."
529,994,994,2,"Nan mais sérieux, c'était pas terrible du tout."
244,409,409,4,"C'était trop bien, j'ai grave kiffé frère !"
824,954,954,1,"Nan mais franchement c'était la cata, j'suis dégoûté..."
154,149,149,5,"Le concert il était trop ouf, j'suis sur un nuage !"
209,824,824,3,"Pas mal le concert, ça se laisse écouter."
689,819,819,2,"Bof bof, j'ai pas trop aimé en fait."
714,159,159,5,"Oh putain, c'était la folie furieuse, j'en reviens pas !"
764,304,304,1,"Mais c'était trop nul sérieux, j'suis grave déçu..."
954,889,889,4,"L'concert il était d'la bombe, j'étais en transe !"
664,534,534,3,"Mouais, ça va, c'était pas non plus ouf ouf."
739,109,109,2,"Franchement, j'ai pas kiffé du tout, c'était pas terrible."
74,454,454,5,"Un truc de malade, j'étais au paradis wallah !"
354,469,469,1,"Non mais c'était trop naze, j'suis trop dégoûté..."
869,854,854,4,"Le concert il était trop ouf, j'ai grave kiffé !"
979,849,849,3,"Pas mal, tranquille quoi, ça se laisse écouter."
534,889,889,2,"Putain mais sérieux, c'était trop nul, j'suis dégoûté..."
199,729,729,5,"Oh ouais, l'concert il était trop dar, j'suis fan !"
574,69,69,1,"C'était trop pourri, j'suis grave déçu..."
239,929,929,4,"Wesh wesh, c'était trop bien, j'étais en kiff total !"
289,899,899,3,"Pas ouf ouf, mais bon ça passe quoi."
999,404,404,2,"Franchement, j'ai pas kiffé du tout, c'était nul."
404,629,629,5,"Oulaïe, c'était la bombe atomique, j'suis sur un nuage !"
469,499,499,1,"Nan mais sérieux, c'était trop nul, j'suis grave déçu..."
929,69,69,4,"La grosse tuerie, j'étais en mode kiff total !"
69,579,579,3,"Pas mal, tranquille quoi, ça s'écoute."
644,924,924,2,"Putain c'était naze, j'ai pas aimé du tout."
944,184,184,5,"Oh la la, c'était trop ouf, j'suis choqué frère !"
369,979,979,1,"Mais c'était trop nul, j'suis grave déçu..."
199,244,244,4,"Franchement, l'concert il était trop bien, j'ai grave kiffé !"
834,759,759,3,"Moyen moyen, rien de fou quoi(coubeh)."
709,779,779,2,"Nan mais sérieux, c'était pas terrible du tout."
849,9,9,4,"Gnon, l'concert yétait fichtrement bô, une ambiance d'ouf !"
704,314,314,3,"Mouais, y'avait pire mais bon, ça m'a pas transcandé."
324,974,974,2,"Bah nan, c'était pas top du tout, j'ai été déçu."
324,624,624,5," l'concert yétait ouf, j'étais en transe !"
114,159,159,1,"Oh putain mais qu'ce tô de cata, j'suis dégoûté..."
489,644,644,4,"Oh la vâche, l'concert il était énorme, j'ai trop aimé !"
234,394,394,3,"Pas mal, ça s'écoute tranquille, ça va quoi."
289,59,59,2,"Non mais sérieux, c'était pas ouf du tout, j'ai pas aimé."
964,344,344,5,"La bougnette du siècle, j'étais sur un p'tit nuage là !"
399,649,649,1,"La gône, c'était qu'du gâchis, j'suis dégoûté..."
4,684,684,4," l'concert il était énorme, j'étais en kiff total !"
289,419,419,3,"Bah ça passe, c'était pas la mer à boire quoi."
674,444,444,2,"Pff, c'était pas ouf du tout, j'm'attendais à mieux."
119,149,149,5,"Trop bieng, l'concert yétait dingo, j'suis en extase !"
709,734,734,1,"Oh putain mais qu'ce que c'était nul, j'suis dégoûté..."
669,689,689,1,"Vraiment pas bien, cela ne valoit point le coup, je suis desplaisi..."
679,909,909,4,"Oh ouais, le concert estoit trop bien, j'estois trop joyeux !"
784,399,399,3,"Pas mal du tout, cela s'escoute tranquilement, c'estoit plaisant."
279,19,19,2,"Boff, je n'ai pas trop aimé, cela estoit médiocre."
204,294,294,5,"Trop bien, le concert estoit vraiment excellent, j'estois trop fan !"
689,654,654,1,"Vraiment pas bien, cela ne valoit point le coup, je suis desplaisi..."
659,29,29,4,"Oh ouais, le concert estoit trop bien, je me suis trop amusé !"
419,189,189,3,"Pas mal du tout, cela s'escoute tranquilement, c'estoit plaisant."
94,754,754,2,"Boff, je n'ai pas trop aimé, cela estoit médiocre."
174,224,224,5,"Trop bien, le concert estoit vraiment excellent, j'ai trop aimé à mort !"
559,319,319,1,"Vraiment pas bien, cela ne valoit point le coup, je suis desplaisi..."
594,264,264,4,"Oh ouais, le concert estoit trop bien, j'estois trop content !"
169,314,314,3,"Pas mal du tout, cela s'escoute tranquilement, c'estoit plaisant."
239,174,174,2,"Boff, je n'ai pas trop aimé, cela estoit médiocre."
809,134,134,5,"Trop bien, le concert estoit vraiment excellent, j'estois trop fan !"
759,849,849,1,"Vraiment pas bien, cela ne valoit point le coup, je suis desplaisi..."
614,409,409,4,"Oh ouais, le concert estoit trop bien, j'estois trop joyeux !"
879,44,44,3,"Pas mal du tout, cela s'escoute tranquilement, c'estoit plaisant."
264,34,34,2,"Boff, je n'ai pas trop aimé, cela estoit médiocre."
854,934,934,5,"Trop bien, le concert estoit vraiment excellent, j'ai adoré !"
689,19,19,5,X'rak zolok srunok!
454,384,384,3,Vlok'esh zorgon glixar.
244,79,79,2,Blorgor mesh'nok xaltrex.
279,204,204,1,Gnashor vrex plaxor zorg!
624,479,479,4,Nexar glizok plorsh vralor.
684,629,629,3,Xlorgor klentrex snoxor mosh.
349,4,4,2,Shlonk blorgor glixar xentar.
819,679,679,5,Zorgor klentar vralor plaxar!
694,639,639,1,Glixor plorgor vrex zornok!
379,94,94,4,Xlentar vrek shlorxor klaxor!
104,174,174,3,Mesh'nok plaxar klorgor shlonk.
44,119,119,2,Glixor blorxor zorgor vrex.
289,449,449,5,Plorgor klaxar zornok vralor!
29,224,224,1,Vrek shlorxor zorgor plaxor!
629,474,474,4,Xlorgor vrek klaxar plentrex!
619,29,29,3,Mesh'nok plaxor klorgor shlonk.
639,494,494,2,Glixor blorxor zorgor vrex.
539,929,929,5,Plorgor klaxar zornok vralor!
289,834,834,1,Vrek shlorxor zorgor plaxor!
699,54,54,4,Xlorgor vrek klaxar plentrex!
739,384,384,3,Mesh'nok plaxor klorgor shlonk.
414,214,214,2,Glixor blorxor zorgor vrex.
499,994,994,5,Plorgor klaxar zornok vralor!
319,254,254,1,Vrek shlorxor zorgor plaxor!
674,194,194,4,Xlorgor vrek klaxar plentrex!
394,129,129,3,Mesh'nok plaxor klorgor shlonk.
404,134,134,2,Glixor blorxor zorgor vrex.
214,514,514,5,Plorgor klaxar zornok vralor!
509,459,459,5,Bonzour konser sa ti top !
9,934,934,3,"Pa ti mal, me pa ti top nonpli."
49,829,829,2,"Enn ti dezoutwar, pa tro bon."
459,199,199,1,"Traka, pa ti bon del tou!"
139,374,374,4,"Bonn zistwar, enn performans bon!"
389,784,784,3,"Ti kor, pa tro nanye."
199,669,669,2,"Mo ti pe atann plis, dezoutwar."
449,634,634,5,Bonzour konser sa ti extra!
934,119,119,1,"Pa ti byen, del dezepsiyon."
989,224,224,4,"Bonn zistwar, enn bann moman kapivan!"
824,939,939,3,"Ti kouma sa, pa tro serye."
394,664,664,2,"Pa ti bon, ti pe atann plis."
559,534,534,5,"Zisann, enn performans extra!"
314,424,424,1,Pa ti bon del tou!
279,389,389,4,"Bonn zistwar, enn moman kapivan!"
934,649,649,3,"Ti kouma sa, pa tro nanye."
754,364,364,2,"Pa ti byen, del dezepsiyon."
574,504,504,5,"Zisann, enn performans extra!"
94,119,119,1,Pa ti bon del tou!
69,139,139,4,"Bonn zistwar, enn moman kapivan!"
774,274,274,3,"Ti kouma sa, pa tro serye."
959,604,604,2,"Pa ti byen, ti pe atann plis."
344,464,464,5,"Zisann, enn performans extra!"
314,674,674,1,Pa ti bon del tou!
734,459,459,4,"Bonn zistwar, enn moman kapivan!"
199,624,624,3,"Ti kouma sa, pa tro nanye."
154,934,934,2,"Pa ti byen, del dezepsiyon."
879,904,904,5,"Zisann, enn performans extra!"
439,394,394,5,"Mnawar khsousa, jawwak al-ajwaa!"
294,359,359,3,"Ma byesta7o, bas ma byemshi 3laiya."
754,309,309,2,"La7meh sa2le, mish bhebha ktir."
569,769,769,1,"Sa3b, ma keno 7elo kteer!"
649,194,194,4,"Sira sa7bi, performance kteer 7elweh!"
619,959,959,3,"Btzakkar, mish ktir bhebha."
804,164,164,2,"Keno btet7assel ktir, ma keno 3ajbe."
864,269,269,5,"Mnawar khsousa, 7elweh ktir!"
364,989,989,1,"Ma keno 7elo, byemshi 3laiya."
274,214,214,4,"Sira sa7bi, lahza ktir 3ajbe!"
539,49,49,3,"Btzakkar, mish ktir serye."
254,229,229,2,"Ma keno 7elo, keno byet7assel ktir."
584,679,679,5,"Mnawar khsousa, performance 7elweh!"
199,794,794,1,Ma keno 7elo kteer!
689,944,944,4,"Sira sa7bi, lahza ktir 3ajbe!"
184,299,299,3,"Btzakkar, mish ktir bhebha."
194,74,74,2,"Ma keno 7elo, byemshi 3laiya."
669,894,894,5,"Mnawar khsousa, performance 7elweh!"
409,274,274,1,Ma keno 7elo kteer!
149,329,329,4,"Sira sa7bi, lahza ktir 3ajbe!"
454,4,4,3,"Btzakkar, mish ktir serye."
934,434,434,2,"Ma keno 7elo, keno byet7assel ktir."
544,269,269,5,"Mnawar khsousa, performance 7elweh!"
619,744,744,1,Ma keno 7elo kteer!
364,164,164,5,Ambiance waya! Nyama yebela bikutso!
829,364,364,3,"Ndem kamer, ngon don!"
859,654,654,2,"Ngon bep bep, la situation no good."
629,304,304,1,"Nyam yan mba, e no waya, e no malo."
634,214,214,4,"E waya diwe, waya soso!"
369,784,784,3,"Ngon bad, e no waya pass."
889,749,749,2,"E overrate waya, waya no bam well well."
599,479,479,5,Ambiance waya! E bikutso soso!
734,709,709,1,"Nyam yan mba, e no waya, e no bam."
314,544,544,4,"E waya diwe, bikutso e fine pass!"
